"","name","scientificName","genus","species","decimalLongitude","decimalLatitude","country"
"241","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"242","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",42.6945,0.4335,"Somalia"
"243","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"244","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",18.21667,-28.71667,"Namibia"
"245","Psammobates oculifer","Psammobates oculifer Kuhl, 1820","Psammobates","Psammobates oculifer",NA,NA,"Namibia"
"246","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"247","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"248","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"249","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"250","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"251","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"252","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",27.70211,-17.25636,"Zimbabwe"
"253","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"254","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"255","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
